id,city08U,co2TailpipeGpm,comb08U,cylinders,displ,drive,fuelCost08,fuelType,ghgScore,highway08U,make,model,automatictransmission,VClass,year,tCharger,sCharger,atvType,mfrCode,startStop
42576,19,406,22.1577,6,3.5,4,1950,Regular,4,26.1501,Honda,Pilot AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,HNX,0
42577,16.5,473,18.8,6,4,2,2800,Premium,3,22.6,Porsche,718 Spyder,0,Two Seaters,2020,0,0,Gas,PRX,0
42578,16.5,473,18.8,6,4,2,2800,Premium,3,22.6,Porsche,718 Cayman GT4,0,Two Seaters,2020,0,0,Gas,PRX,0
42579,9.5936,749,11.771,8,6.8,2,4400,Premium,1,16.2898,Bentley,Mulsanne,1,Midsize Cars,2020,1,0,Gas,VGA,0
42582,29.7701,267,33.0246,4,1.8,2,1300,Regular,7,38.1176,Toyota,Corolla,1,Compact Cars,2021,0,0,Gas,TYX,0
42583,29.086,271,32.7744,4,1.8,2,1300,Regular,7,38.7858,Toyota,Corolla,0,Compact Cars,2021,0,0,Gas,TYX,0
42584,28.8851,274,32.2071,4,1.8,2,1350,Regular,7,37.4747,Toyota,Corolla XLE,1,Compact Cars,2021,0,0,Gas,TYX,0
42587,30.8774,257,34.2793,4,2,2,1250,Regular,7,39.6137,Toyota,Corolla,1,Compact Cars,2021,0,0,Gas,TYX,0
42588,28.818,277,31.8168,4,2,2,1350,Regular,7,36.453,Toyota,Corolla,0,Compact Cars,2021,0,0,Gas,TYX,0
42589,30.5479,265,33.6743,4,2,2,1250,Regular,7,38.4889,Toyota,Corolla XSE,1,Compact Cars,2021,0,0,Gas,TYX,0
42592,15.5764,473,18.6486,8,5,2,2800,Premium,3,24.5719,Lexus,LC 500,1,Subcompact Cars,2021,0,0,Gas,TYX,0
42593,27.5034,303,29.5096,4,1.6,2,1450,Regular,6,32.398,Hyundai,Kona FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,HYX,0
42594,27.4026,300,29.8299,4,2,2,1450,Regular,6,33.4515,Hyundai,Kona FWD,1,Small Sport Utility Vehicle 2WD,2021,0,0,Gas,HYX,0
42595,20.1673,392,22.9526,4,2,2,1850,Regular,5,27.6137,Kia,Sportage FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,KMX,0
42596,22.9833,349,25.7946,4,2.4,2,1650,Regular,5,30.3288,Kia,Sportage FWD,1,Small Sport Utility Vehicle 2WD,2021,0,0,Gas,KMX,0
42597,14.1745,546,16.1587,6,3,4,3300,Premium,2,19.4938,BMW,X3 M,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,BMX,1
42598,14.1745,546,16.1587,6,3,4,3300,Premium,2,19.4938,BMW,X3 M Competition,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,BMX,1
42599,14.1745,546,16.1587,6,3,4,3300,Premium,2,19.4938,BMW,X4 M,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,BMX,1
42600,14.1745,546,16.1587,6,3,4,3300,Premium,2,19.4938,BMW,X4 M Competition,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,BMX,1
42601,26.0618,324,27.473,4,1.6,4,1600,Regular,6,29.4201,Hyundai,Kona AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,HYX,0
42602,25.463,326,27.4128,4,2,4,1600,Regular,6,30.2434,Hyundai,Kona AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,HYX,0
42603,19.3663,421,21.3814,4,2,4,2050,Regular,4,24.4967,Kia,Sportage AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,KMX,0
42604,21.4975,390,23.1238,4,2.4,4,1850,Regular,5,25.4795,Kia,Sportage AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,KMX,0
42605,22.3944,355,24.9374,4,2,4,1700,Regular,5,28.9563,Subaru,Crosstrek AWD,0,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,FJX,0
42606,27.5599,297,29.9282,4,2,4,1450,Regular,6,33.4403,Subaru,Crosstrek AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,FJX,1
42607,26.6384,302,29.4177,4,2.5,4,1500,Regular,6,33.7173,Subaru,Crosstrek AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,FJX,1
42608,20.0948,413,21.536,4,2,4,1950,Regular,4,23.6053,Volkswagen,Atlas Cross Sport 4motion,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,VGA,1
42609,19.2905,407,21.9707,6,3.8,2,1950,Regular,4,26.4647,Hyundai,Palisade FWD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,HYX,0
42610,19.0736,426,21.1618,6,3.8,4,2050,Regular,4,24.431,Hyundai,Palisade AWD,1,Standard Sport Utility Vehicle 4WD,2021,0,0,Gas,HYX,0
42611,8.6476,864,10.2095,16,8,4,5300,Premium,1,13.1016,Bugatti,Divo,1,Two Seaters,2020,1,0,Gas,VGA,0
42612,18,445,20,6,3.8,2,2150,Regular,4,24,Nissan,Frontier 2WD,1,Standard Pickup Trucks 2WD,2020,0,0,Gas,NSX,0
42613,17,469,19,6,3.8,4,2250,Regular,3,23,Nissan,Frontier 4WD,1,Standard Pickup Trucks 4WD,2020,0,0,Gas,NSX,0
42616,14.6245,530,16.6897,8,6.2,2,3100,Premium,3,20.1712,Cadillac,Escalade 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
42617,14.7945,525,16.8511,8,6.2,2,3100,Premium,3,20.3003,Chevrolet,Tahoe 2WD,1,Standard Sport Utility Vehicle 2WD,2021,0,0,Gas,GMX,1
